sentence,label
"['pumpkin', 'takes', 'admirable', 'look', 'hypocrisy', 'political', 'correctness', 'uneven', 'tone', 'never', 'know', 'humor', 'ends', 'tragedy', 'begins']",0
"['iditarod', 'lasts', 'days', 'felt', 'like']",0
"['holden', 'caulfield', 'better']",0
"['delectable', 'intriguing', 'thriller', 'filled', 'surprises', 'read', 'lips', 'original']",1
"['seldom', 'movie', 'closely', 'matched', 'spirit', 'man', 'work']",1
"['nicks', 'seemingly', 'uncertain', 'going', 'make', 'people', 'laugh', 'runs', 'gamut', 'stale', 'parody', 'raunchy', 'sex', 'gags', 'formula', 'romantic', 'comedy']",0
"['action', 'switches', 'past', 'present', 'material', 'link', 'tenuous', 'anchor', 'emotional', 'connections', 'purport', 'span', 'year', 'divide']",0
"['offbeat', 'treat', 'pokes', 'fun', 'democratic', 'exercise', 'also', 'examining', 'significance', 'take', 'part']",1
"['cookie', 'cutter', 'movie', 'cut', 'paste', 'job']",0
"['look', 'away', 'god', 'awful']",0
"['thanks', 'scott', 'charismatic', 'roger', 'eisenberg', 'sweet', 'nephew', 'roger', 'dodger', 'one', 'compelling', 'variations', 'company', 'men']",1
"['designed', 'provide', 'mix', 'smiles', 'tears', 'crossroads', 'instead', 'provokes', 'handful', 'unintentional', 'howlers', 'numerous', 'yawns']",0
"['gorgeous', 'witty', 'seductive', 'movie']",1
"['movie', 'succeeds', 'instilling', 'wary', 'sense', 'grace', 'god', 'far', 'self', 'conscious', 'draw', 'deeply', 'world']",0
"['nt', 'believe', 'sense', 'humor', 'plain', 'bored']",0
"['sequence', 'ridiculous', 'shoot', 'em', 'scenes']",0
"['weight', 'piece', 'unerring', 'professionalism', 'chilly', 'production', 'fascination', 'embedded', 'lurid', 'topic', 'prove', 'recommendation', 'enough']",1
"['hile', 'long', 'amiable', 'monkeys', 'worthy', 'environmentalism', 'jane', 'goodall', 'wild', 'chimpanzees', 'short', 'thrills', 'oversize', 'medium', 'demands']",0
"['surreal', 'dream', 'detailed', 'photograph', 'visually', 'dexterous', 'times', 'imaginatively', 'overwhelming']",1
"['escaping', 'studio', 'piccoli', 'warmly', 'affecting', 'adroitly', 'minimalist', 'movie']",1
"['tremendous', 'energy', 'cast', 'sense', 'playfulness', 'excitement', 'seems', 'appropriate']",1
"['illuminating', 'documentary', 'transcends', 'preconceived', 'vision', 'holy', 'land', 'inhabitants', 'revealing', 'human', 'complexities', 'beneath']",1
"['subtle', 'strength', 'elling', 'never', 'loses', 'touch', 'reality', 'grim', 'situation']",1
"['holm', 'embodies', 'character', 'effortlessly', 'regal', 'charisma']",1
"['title', 'describes', 'main', 'characters', 'lazy', 'people', 'behind', 'camera', 'well']",0
"['offers', 'little', 'beyond', 'momentary', 'joys', 'pretty', 'weightless', 'intellectual', 'entertainment']",0
"['synthesis', 'cliches', 'absurdities', 'seems', 'positively', 'decadent', 'cinematic', 'flash', 'emptiness']",0
"['subtle', 'well', 'crafted', 'part', 'chiller']",1
"['lot', 'virtues', 'eastwood', 'best']",1
"['hampered', 'lifetime', 'channel', 'kind', 'plot', 'lead', 'actress', 'depth']",0
"['feels', 'like', 'school', 'special', 'gussied', 'fancy', 'special', 'effects', 'watching', 'rote', 'plot', 'points', 'connect', 'exciting', 'gazing', 'egg', 'timer', 'minutes']",0
"['part', 'director', 'anne', 'sophie', 'birot', 'first', 'feature', 'sensitive', 'extraordinarily', 'well', 'acted', 'drama']",1
"['mr', 'tsai', 'original', 'artist', 'medium', 'time']",1
"['sade', 'engaging', 'look', 'controversial', 'eponymous', 'fiercely', 'atheistic', 'hero']",1
"['devoid', 'kind', 'intelligible', 'story', 'makes', 'films', 'like', 'xxx', 'collateral', 'damage', 'seem', 'like', 'thoughtful', 'treatises']",0
"['tender', 'heartfelt', 'family', 'drama']",1
"['hollow', 'joke', 'told', 'cinematic', 'gymnast', 'much', 'fun', 'embellishing', 'misanthropic', 'tale', 'actually', 'engage']",0
"['cold', 'turkey', 'would', 'far', 'better', 'title']",0
"['manages', 'repulsively', 'sadistic', 'mundane']",0
"['disappointingly', 'superficial', 'movie', 'elements', 'necessary', 'fascinating', 'involving', 'character', 'study', 'never', 'scratch', 'surface']",0
"['story', 'two', 'misfits', 'nt', 'stand', 'chance', 'alone', 'together', 'magnificent']",1
"['schaeffer', 'find', 'hook', 'hang', 'persistently', 'useless', 'movies', 'might', 'well', 'resuscitation', 'middle', 'aged', 'character']",0
"['primitive', 'force', 'film', 'seems', 'bubble', 'vast', 'collective', 'memory', 'combatants']",1
"['tricky', 'topic', 'tadpole', 'much', 'step', 'right', 'direction', 'blend', 'frankness', 'civility', 'compassion']",1
"['script', 'kicks', 'mr', 'hartley', 'distended', 'pace', 'foot', 'dragging', 'rhythms', 'follow']",0
"['wonder', 'enough', 'nt', 'music', 'video', 'rather', 'full', 'length', 'movie']",0
"['hard', 'raunchy', 'college', 'humor', 'ticket', 'right']",1
"['fast', 'funny', 'highly', 'enjoyable', 'movie']",1
"['good', 'old', 'fashioned', 'slash', 'hack', 'back']",1
"['one', 'definitely', 'one', 'skip', 'even', 'horror', 'movie', 'fanatics']",0
"['impressive', 'craftsmanship', 'despite', 'overbearing', 'series', 'third', 'act', 'crescendos', 'lily', 'chou', 'chou', 'never', 'really', 'builds', 'head', 'emotional', 'steam']",0
"['exquisitely', 'nuanced', 'mood', 'tics', 'dialogue', 'chamber', 'drama', 'superbly', 'acted', 'deeply', 'appealing', 'veteran', 'bouquet', 'chilling', 'quite', 'human', 'berling']",1
"['uses', 'high', 'comedy', 'evoke', 'surprising', 'poignance']",1
"['one', 'creepiest', 'scariest', 'movies', 'come', 'along', 'long', 'long', 'time', 'easily', 'rivaling', 'blair', 'witch', 'others']",1
"['string', 'rehashed', 'sight', 'gags', 'based', 'insipid', 'vulgarity']",0
"['among', 'year', 'intriguing', 'explorations', 'alientation']",1
"['movie', 'fails', 'live', 'sum', 'parts']",0
"['son', 'room', 'triumph', 'gentility', 'earns', 'moments', 'pathos']",1
"['nothing', 'outstanding', 'film', 'good', 'enough', 'likely', 'appreciated', 'sailors', 'folks', 'know', 'way', 'around', 'submarine']",1
"['train', 'wreck', 'action', 'film', 'stupefying', 'attempt', 'filmmakers', 'force', 'feed', 'james', 'bond', 'mindless', 'xxx', 'mold', 'throw', 'years', 'cinematic', 'history', 'toilet', 'favor', 'bright', 'flashes', 'loud', 'bangs']",0
"['draw', 'big', 'bad', 'love', 'solid', 'performance', 'arliss', 'howard']",1
"['green', 'might', 'want', 'hang', 'onto', 'ski', 'mask', 'robbery', 'may', 'way', 'pay', 'next', 'project']",0
"['one', 'pussy', 'ass', 'world', 'even', 'killer', 'thrillers', 'revolve', 'around', 'group', 'therapy', 'sessions']",0
"['though', 'become', 'almost', 'redundant', 'say', 'major', 'kudos', 'go', 'leigh', 'actually', 'casting', 'people', 'look', 'working', 'class']",1
"['band', 'courage', 'face', 'official', 'repression', 'inspiring', 'especially', 'aging', 'hippies', 'one', 'included']",1
"['movie', 'achieves', 'great', 'impact', 'keeping', 'thoughts', 'hidden', 'quills', 'showing']",1
"['film', 'flat', 'lines', 'peak', 'missed', 'opportunity', 'trifle', 'dark', 'decadent', 'truffle']",0
"['jaglom', 'put', 'audience', 'privileged', 'position', 'eavesdropping', 'characters']",1
"['fresnadillo', 'dark', 'jolting', 'images', 'way', 'plying', 'subconscious', 'like', 'nightmare', 'week', 'ago', 'wo', 'nt', 'go', 'away']",1
"['know', 'plot', 'little', 'crazy', 'held', 'interest', 'start', 'finish']",1
"['scattershot', 'affair', 'hits', 'mark', 'brilliant']",1
"['hardly', 'masterpiece', 'introduces', 'viewers', 'good', 'charitable', 'enterprise', 'interesting', 'real', 'people']",1
"['wo', 'nt', 'like', 'roger', 'quickly', 'recognize']",0
"['steven', 'soderbergh', 'solaris', 'failure', 'glorious', 'failure']",1
"['byler', 'reveals', 'characters', 'way', 'intrigues', 'even', 'fascinates', 'us', 'never', 'reduces', 'situation', 'simple', 'melodrama']",1
"['riveting', 'world', 'war', 'ii', 'moral', 'suspense', 'story', 'deals', 'shadow', 'side', 'american', 'culture', 'racial', 'prejudice', 'ugly', 'diverse', 'forms']",0
"['difficult', 'imagine', 'process', 'produced', 'script', 'guessing', 'spray', 'cheese', 'underarm', 'noises', 'played', 'crucial', 'role']",0
"['sophomore', 'slump', 'director', 'sam', 'mendes', 'segues', 'oscar', 'winner', 'oscar', 'winning', 'potential', 'smooth', 'sleight', 'hand']",1
"['whole', 'movie', 'lacks', 'wit', 'feeling', 'believability', 'compensate', 'incessant', 'coarseness', 'banality']",0
"['make', 'documentary', 'marginal', 'historical', 'figures']",0
"['neither', 'parker', 'donovan', 'typical', 'romantic', 'lead', 'bring', 'fresh', 'quirky', 'charm', 'formula']",1
"['last', 'movie', 'poetically', 'romantic', 'full', 'indelible', 'images', 'latest', 'nothing', 'going']",0
"['paint', 'memorable', 'images', 'makhmalbaf', 'keeps', 'distance', 'characters']",1
"['gripping', 'movie', 'played', 'performances', 'understated', 'touching']",1
"['one', 'baseball', 'pictures', 'hero', 'stoic', 'wife', 'patient', 'kids', 'cute', 'get', 'odds', 'success', 'long', 'enough', 'intimidate', 'short', 'enough', 'make', 'dream', 'seem', 'possible']",1
"['combining', 'quick', 'cut', 'editing', 'blaring', 'heavy', 'metal', 'much', 'time', 'beck', 'seems', 'illusion', 'shooting', 'latest', 'system', 'video']",0
"['movie', 'relatively', 'simple', 'plot', 'uncomplicated', 'morality', 'play', 'well', 'affable', 'cast']",1
"['director', 'ca', 'nt', 'make', 'either', 'val', 'kilmer', 'two', 'personas', 'interesting', 'worth', 'caring']",0
"['often', 'viewer', 'nt', 'reacting', 'humor', 'much', 'wincing', 'back', 'repugnance']",0
"['great', 'escapist', 'fun', 'recreates', 'place', 'time', 'never', 'happen']",1
"['scores', 'points', 'originality', 'wit', 'intelligence']",0
"['nt', 'nearly', 'enough', 'fun', 'despite', 'presence', 'appealing', 'ingredients']",0
"['hilariously', 'inept', 'ridiculous']",1
"['movie', 'maddening']",0
"['haunts', 'ca', 'nt', 'forget', 'admire', 'conception', 'able', 'resolve', 'confusions', 'watching']",1
"['sam', 'mendes', 'become', 'valedictorian', 'school', 'soft', 'landings', 'easy', 'ways']",0
"['one', 'smartest', 'takes', 'singles', 'culture', 'seen', 'long', 'time']",1
"['moody', 'heartbreaking', 'filmed', 'natural', 'unforced', 'style', 'makes', 'characters', 'seem', 'entirely', 'convincing', 'even', 'script']",1
"['every', 'nanosecond', 'new', 'guy', 'reminds', 'could', 'something', 'else', 'far', 'pleasurable']",0
"['comes', 'uncomfortably', 'close', 'coasting', 'treads', 'bicycle', 'thief']",0
"['warm', 'water', 'red', 'bridge', 'quirky', 'poignant', 'japanese', 'film', 'explores', 'fascinating', 'connections', 'women', 'water', 'nature', 'sexuality']",1
"['seems', 'film', 'art', 'ripping', 'people', 'without', 'ever', 'letting', 'consciously', 'know', 'done']",0
"['old', 'form', 'moviemaking', 'best']",1
"['turns', 'potentially', 'forgettable', 'formula', 'something', 'strangely', 'diverting']",1
"['lawrence', 'bounces', 'stage', 'dancing', 'running', 'sweating', 'mopping', 'face', 'generally', 'displaying', 'wacky', 'talent', 'brought', 'fame', 'first', 'place']",1
"['movie', 'reminds', 'us', 'exciting', 'satisfying', 'fantasy', 'cinema', 'approached', 'imagination', 'flair']",1
"['confirms', 'nagging', 'suspicion', 'ethan', 'hawke', 'would', 'even', 'worse', 'behind', 'camera', 'front']",0
"['end', 'left', 'something', 'like', 'two', 'ships', 'passing', 'night', 'rather', 'insights', 'gay', 'love', 'chinese', 'society', 'price', 'one', 'pays', 'dishonest']",0
"['montias', 'pumps', 'lot', 'energy', 'nicely', 'nuanced', 'narrative', 'surrounds', 'cast', 'quirky', 'stereotyped', 'street', 'characters']",1
"['provides', 'grand', 'intelligent', 'entertainment', 'superior', 'cast', 'playing', 'smart', 'people', 'amid', 'compelling', 'plot']",1
"['suffers', 'lack', 'compelling', 'comprehensible', 'narrative']",0
"['execution', 'clever', 'idea', 'far', 'less', 'funny', 'original', 'killers', 'space']",0
"['scooby', 'dooby', 'doo', 'shaggy', 'look', 'sound', 'great']",1
"['tale', 'tok', 'andy', 'lau', 'sleek', 'sociopath', 'trail', 'takashi', 'sorimachi', 'legendary', 'asian', 'hitmen', 'scattershot', 'take', 'hold']",0
"['drags', 'interminably', 'like', 'watching', 'miserable', 'relationship', 'unfold', 'real', 'time']",0
"['pumpkin', 'means', 'outrageous', 'dark', 'satire', 'fraternity', 'life', 'ambitions', 'far', 'exceed', 'abilities', 'writer', 'adam', 'larson', 'broder', 'co', 'director', 'tony', 'abrams', 'feature', 'debut']",0
"['looks', 'feels', 'like', 'project', 'better', 'suited', 'small', 'screen']",0
"['forced', 'familiar', 'thoroughly', 'condescending']",0
"['compliment', 'kuras', 'miller']",1
"['ultimate', 'depression', 'era', 'gangster', 'movie']",0
"['sacrifices', 'value', 'wealth', 'archival', 'foot', 'age', 'less', 'objective', 'stance']",0
"['character', 'zigzag', 'sufficiently', 'developed', 'support', 'film', 'constructed', 'around']",0
"['better', 'message', 'love', 'thyself', 'could', 'young', 'women', 'size', 'receive']",1
"['solid', 'film', 'conscientious', 'truly', 'stirring']",1
"['hill', 'learned', 'new', 'tricks', 'tricks', 'alone', 'enough', 'salvage', 'lifeless', 'boxing', 'film']",0
"['best', 'said', 'work', 'scottish', 'director', 'ritchie', 'obviously', 'nt', 'heart']",0
"['manga', 'like', 'heroine', 'fights', 'back', 'abusers', 'energetic', 'satisfying', 'deep', 'psychological']",1
"['talented', 'clever', 'robert', 'rodriguez', 'perhaps', 'put', 'little', 'much', 'heart', 'first', 'film', 'nt', 'reserve', 'enough', 'second']",0
"['feels', 'formulaic', 'familiar', 'produce', 'transgressive', 'thrills', 'early', 'underground', 'work']",0
"['volatile', 'dynamics', 'female', 'friendship', 'subject', 'unhurried', 'low', 'key', 'film', 'hollywood', 'seems', 'positively', 'french', 'rhythms', 'resonance']",1
"['overall', 'good', 'trying']",1
"['big', 'gorgeous', 'sprawling', 'swashbuckler', 'delivers', 'diversions', 'grand', 'uncomplicated', 'fashion']",1
"['difficult', 'absorbing', 'film', 'manages', 'convey', 'substance', 'despite', 'repetitions', 'inconsistencies', 'films', 'far', 'pointed', 'clear']",1
"['heavy', 'handed', 'film', 'almost', 'laughable', 'consequence']",0
"['solid', 'examination', 'male', 'midlife', 'crisis']",1
"['nightmare', 'date', 'half', 'formed', 'wit', 'done', 'great', 'disservice', 'lack', 'critical', 'distance', 'sad', 'trust', 'liberal', 'arts', 'college', 'bumper', 'sticker', 'platitudes']",0
"['manages', 'transcend', 'sex', 'drugs', 'show', 'tunes', 'plot', 'something', 'far', 'richer']",1
"['takes', 'talent', 'make', 'lifeless', 'movie', 'heinous', 'man', 'ever', 'lived']",0
"['getting', 'wrapped', 'visuals', 'eccentricities', 'many', 'characters', 'found', 'confused', 'came', 'time', 'get', 'heart', 'movie']",0
"['like', 'leon', 'frustrating', 'still', 'oddly', 'likable']",1
"['uncommonly', 'stylish', 'equally', 'silly', 'picture', 'fails', 'generate', 'much', 'suspense', 'ask', 'searching', 'enough', 'questions', 'justify', 'pretensions']",0
"['exactly', 'bees', 'knees']",0
"['seems', 'clear', 'path', 'story', 'going', 'long', 'going', 'take', 'get']",0
"['slapstick', 'buffoonery', 'tickle', 'many', 'preschooler', 'fancy', 'costs', 'family', 'four', 'see', 'film', 'theaters', 'spend', 'money', 'dog', 'like', 'rent', 'pedigree', 'instead']",0
"['woman', 'pic', 'directed', 'resonance', 'ilya', 'chaiken']",1
"['may', 'reawaken', 'discussion', 'kennedy', 'assassination', 'fictional', 'film', 'looks', 'made', 'cable', 'rather', 'big', 'screen']",0
"['characters', 'still', 'need', 'function', 'according', 'set', 'believable', 'comprehensible', 'impulses', 'matter', 'many', 'drugs', 'much', 'artistic', 'license', 'avary', 'employs']",0
"['end', 'result', 'film', 'neither']",0
"['manages', 'sweet', 'wickedly', 'satisfying', 'time']",1
"['leigh', 'film', 'full', 'memorable', 'performances', 'top', 'bottom']",1
"['also', 'clearly', 'great', 'fun']",1
"['rarely', 'leukemia', 'looked', 'shimmering', 'benign']",0
"['seems', 'like', 'waiting', 'whole', 'life', 'movie', 'ca', 'nt', 'wait', 'sequel']",1
"['determined', 'fun', 'bouncy', 'energetic', 'musicals', 'humor', 'nt', 'quite', 'engage', 'adult']",0
"['dig', 'david', 'mamet', 'mind', 'tricks', 'rent', 'movie', 'enjoy']",1
"['bleakly', 'funny', 'characters', 'touching', 'refusing', 'pity', 'memorialize']",1
"['delivers', 'old', 'old', 'tarted', 'latin', 'flava', 'turned', 'hollywood', 'playas']",0
"['nt', 'offer', 'much', 'besides', 'glib', 'soullessness', 'raunchy', 'language', 'series', 'brutal', 'set', 'pieces', 'raise', 'bar', 'stylized', 'screen', 'violence']",0
"['made', 'want', 'wrench', 'eyes', 'head', 'toss', 'screen']",0
"['film', 'performances', 'thrilling']",1
"['unfortunately', 'silly', 'fun', 'unless', 'enjoy', 'really', 'bad', 'movies']",0
"['bad', 'thing', 'movie', 'much', 'substance', 'end', 'credits', 'blooper', 'reel']",0
"['sympathize', 'plight', 'families', 'movie', 'nt', 'good', 'job', 'conveying', 'issue', 'hand']",0
"['lower', 'expectations', 'enjoy']",0
"['though', 'perry', 'hurley', 'make', 'inspiring', 'efforts', 'breathe', 'life', 'disjointed', 'haphazard', 'script', 'jay', 'scherick', 'david', 'ronn', 'neither', 'actors', 'director', 'reginald', 'hudlin', 'make', 'fitfully', 'entertaining']",0
"['must', 'see', 'david', 'mamet', 'enthusiast', 'anyone', 'appreciates', 'intelligent', 'stylish', 'moviemaking']",1
"['pacino', 'brilliant', 'sleep', 'deprived', 'dormer', 'increasing', 'weariness', 'much', 'existential', 'physical']",1
"['de', 'niro', 'veritable', 'source', 'sincere', 'passion', 'hollywood', 'contrivance', 'orbits', 'around']",1
"['misogynistic', 'piece', 'filth', 'attempts', 'pass', 'hip', 'young', 'adult', 'entertainment']",0
"['story', 'may', 'thousand', 'years', 'old', 'seem', 'like', 'took', 'another', 'thousand', 'tell', 'us']",0
"['try', 'may', 'ca', 'nt', 'think', 'single', 'good', 'reason', 'see', 'movie', 'even', 'though', 'everyone', 'group', 'extemporaneously', 'shouted', 'thank']",0
"['movie', 'beautiful', 'behold', 'engages', 'one', 'sense', 'epic', 'struggle', 'inner', 'outer', 'rare', 'hollywood', 'hastier', 'productions']",1
"['celebration', 'quirkiness', 'eccentricity', 'certain', 'individuals', 'tendency', 'let', 'hang', 'damn', 'consequences']",1
"['morton', 'uses', 'face', 'body', 'language', 'bring', 'us', 'morvern', 'soul', 'even', 'though', 'character', 'almost', 'completely', 'deadpan']",1
"['instead', 'hyperbolic', 'beat', 'charged', 'urban', 'western', 'unpretentious', 'sociologically', 'pointed', 'slice', 'life']",1
"['thoughts', 'focused', 'characters']",1
"['comedy', 'mild', 'culture', 'clashing', 'today', 'new', 'delhi']",1
"['starters', 'story', 'slim']",0
"['winning', 'ensemble', 'comedy', 'shows', 'canadians', 'put', 'gentle', 'laughs', 'equally', 'gentle', 'sentiments', 'button', 'easily', 'counterparts', 'anywhere', 'else', 'world']",1
"['least', 'nt', 'know', 'anything', 'derrida', 'walk', 'theater', 'wo', 'nt', 'know', 'much', 'leave']",0
"['format', 'gets', 'used', 'best', 'capture', 'dizzying', 'heights', 'achieved', 'motocross', 'bmx', 'riders', 'whose', 'balletic', 'hotdogging', 'occasionally', 'ends', 'bone', 'crushing', 'screwups']",1
"['inside', 'film', 'conflict', 'powered', 'plot', 'decent', 'moral', 'trying', 'get', 'tension', 'keeps', 'seat']",1
"['ought', 'directing', 'license', 'ed', 'burns', 'revoked']",0
['bad'],0
"['dogged', 'good', 'parents', 'vain', 'jia', 'defoliation', 'ego', 'make', 'film', 'touching', 'despite', 'doldrums']",1
"['falls', 'neatly', 'category', 'good', 'stupid', 'fun']",1
"['artful', 'intelligent', 'film', 'stays', 'within', 'confines', 'well', 'established', 'genre']",1
"['smart', 'provocative', 'blisteringly', 'funny']",1
"['lesson', 'end', 'nothing', 'new']",0
"['undisputed', 'worst', 'boxing', 'movie', 'ever', 'certainly', 'champion', 'big', 'loser', 'audience']",0
"['undercover', 'brother', 'funny', 'austin', 'powers', 'films', 'also', 'one', 'smarter', 'savvier', 'spoofs', 'come', 'along', 'time']",1
"['say', 'done', 'better', 'wilder', 'like', 'hot', 'like', 'saying', 'sun', 'rises', 'east']",0
"['entire', 'movie', 'boring', 'sad', 'man', 'boring', 'sad']",0
"['time', 'mr', 'burns', 'trying', 'something', 'martin', 'scorsese', 'street', 'realist', 'mode', 'self', 'regarding', 'sentimentality', 'trips']",0
"['perceptive', 'vision', 'nascent', 'industrialized', 'world', 'politics', 'new', 'art', 'form', 'far', 'clunky', 'didactic', 'saddled', 'scenes', 'seem', 'simply', 'ill', 'fit', 'movie']",0
"['best', 'revenge', 'may', 'living', 'well', 'film', 'unlike', 'dumas', 'adaptations', 'far', 'likened', 'treasure', 'lengthy', 'jail', 'sentence']",1
"['movie', 'understands', 'like', 'others', 'depth', 'breadth', 'emotional', 'intimacy', 'give', 'physical', 'act', 'meaning', 'pleasure']",1
"['kim', 'begins', 'overplay', 'shock', 'tactics', 'bait', 'tackle', 'metaphors', 'may', 'decide', 'high', 'price', 'pay', 'shimmering', 'picture', 'postcard']",0
"['missing', 'spontaneity', 'originality', 'delight']",0
"['film', 'lacks', 'general', 'focus', 'makes', 'compassion', 'corcuera', 'manages', 'find', 'seeds', 'hope', 'form', 'collective', 'action']",1
"['socio', 'histo', 'political', 'treatise', 'told', 'earnest', 'strides', 'personal', 'illusion', 'deconstructed', 'poignancy']",1
"['reaction', 'word', 'disappointment']",0
"['psychological', 'thriller', 'genuinely', 'spooky', 'premise', 'average', 'cast', 'actor', 'bill', 'paxton', 'directing', 'debut', 'creepy', 'slice', 'gothic', 'rural', 'americana']",1
"['corny', 'schmaltzy', 'predictable', 'still', 'manages', 'kind', 'heartwarming', 'nonetheless']",1
"['nothing', 'stake', 'twisty', 'double', 'cross', 'smell', 'mile', 'away', 'still', 'derivative', 'nine', 'queens', 'lots', 'fun']",1
"['far', 'imaginative', 'ambitious', 'trivial', 'cash', 'features', 'nickelodeon', 'made', 'animated', 'tv', 'series']",1
"['course', 'objective', 'measurements', 'still', 'quite', 'bad']",0
"['two', 'leads', 'lathan', 'diggs', 'charming', 'chemistry', 'friends', 'lovers']",1
"['provides', 'honest', 'look', 'community', 'striving', 'anchor', 'new', 'grounds']",1
"['movie', 'seems', 'written', 'using', 'mad', 'libs']",0
"['reign', 'fire', 'looks', 'made', 'without', 'much', 'thought', 'best', 'watched', 'way']",1
"['martin', 'barbara', 'complex', 'characters', 'sometimes', 'tender', 'sometimes', 'angry', 'delicate', 'performances', 'sven', 'wollter', 'viveka', 'seldahl', 'make', 'hopes', 'frustrations', 'vivid']",1
"['kung', 'pow', 'nt', 'funny', 'time', 'nt', 'funnier', 'bad', 'martial', 'arts', 'movies', 'without', 'oedekerk', 'impish', 'augmentation']",0
"['say', 'star', 'director', 'big', 'problems']",0
"['affleck', 'jackson', 'good', 'sparring', 'partners']",1
"['whether', 'like', 'rap', 'music', 'loathe', 'ca', 'nt', 'deny', 'either', 'tragic', 'loss', 'two', 'young', 'men', 'prime', 'talent', 'power', 'movie']",1
"['since', 'japanese', 'filmmaker', 'akira', 'kurosawa', 'ran', 'savagery', 'combat', 'specter', 'death', 'visualized', 'operatic', 'grandeur']",1
"['numbers', 'effort', 'wo', 'nt', 'much', 'enhance', 'franchise']",0
"['occasionally', 'funny', 'overall', 'limp', 'fish', 'water', 'story']",0
"['brilliantly', 'explores', 'conflict', 'following', 'one', 'heart', 'following', 'demands', 'tradition']",1
"['despite', 'animation', 'wild', 'thornberrys', 'movie', 'makes', 'surprisingly', 'cinematic', 'experience']",1
"['appears', 'something', 'lost', 'translation', 'screen']",0
"['feels', 'like', 'monty', 'python', 'sketch', 'gone', 'horribly', 'wrong']",0
"['film', 'tunes', 'grief', 'could', 'lead', 'man', 'across', 'centuries']",1
"['dazzles', 'fully', 'written', 'characters', 'determined', 'stylishness', 'always', 'relates', 'characters', 'story', 'johnny', 'dankworth', 'best', 'soundtrack', 'years']",1
"['work', 'artist', 'control', 'medium', 'message', 'improvise', 'like', 'jazzman']",1
"['chemistry', 'women', 'droll', 'scene', 'stealing', 'wit', 'wolfish', 'pessimism', 'anna', 'chancellor', 'makes', 'two', 'weddings', 'funeral', 'fun']",1
"['stealing', 'harvard', 'evidence', 'farrelly', 'bros', 'peter', 'bobby', 'brand', 'screen', 'comedy', 'wheezing', 'end', 'along', 'green', 'half', 'hearted', 'movie', 'career']",0
"['full', 'world', 'presented', 'onscreen', 'series', 'carefully', 'structured', 'plot', 'points', 'building', 'pat', 'resolution']",1
"['huston', 'nails', 'glad', 'handing', 'choking', 'sense', 'hollow', 'despair']",1
"['one', 'intelligent', 'children', 'movies', 'hit', 'theaters', 'year']",1
"['film', 'tries', 'hard', 'funny', 'tries', 'hard', 'hip']",0
"['blanchett', 'performance', 'confirms', 'power']",1
"['believe', 'make', 'real', 'deal', 'leftover', 'enron', 'stock', 'double', 'value', 'week', 'friday']",0
"['attempts', 'ensemble', 'film', 'impart', 'message', 'heavy', 'handed', 'instead', 'pummel', 'audience']",0
"['one', 'convict', 'guilty', 'truly', 'heinous', 'crime', 'sit', 'master', 'disguise']",0
"['rarely', 'much', 'money', 'delivered', 'little', 'entertainment']",0
"['taylor', 'appears', 'blown', 'entire', 'budget', 'soundtrack', 'rights', 'nothing', 'left', 'jokes']",0
"['time', 'machine', 'movie', 'interest']",0
"['rarity', 'among', 'recent', 'iranian', 'films', 'comedy', 'full', 'gentle', 'humor', 'chides', 'absurdity', 'protagonist', 'plight']",1
